"""","和歌山県_台　数","和歌山県_前年(同月･期)比","全国_台　数","全国_前年(同月･期)比"
"平成17年","24721.0","-2.7","3928351.0","-0.9"
"平成18年","22724.0","-8.078152178309935","3715887.0","-5.408478010238909"
"平成19年","21423.0","-5.725224432318257","3433829.0","-7.590596807707016"
"平成20年","22216.0","3.701629090230128","3212342.0","-6.450146469145665"
"平成21年","21627.0","-2.6512423478573908","2921085.0","-9.066811690660586"
"平成22年","23247.0","7.490636704119851","3229716.0","10.565628867355798"
"平成23年","18572.0","-20.110121736137998","2689074.0","-16.73961425710496"
"平成24年","23763.0","27.950678440663367","3390274.0","26.075890808508802"
"平成25年","22144.0","-6.813112822455082","3262522.0","-3.768191007570479"
"平成26年","22598.0","2.0502167630057784","3290098.0","0.8452356796367866"
"平成19年1-3月","6471.0","-11.8","1043249.0","-10.9"
"平成19年4-6月","4403.0","-12.9","745190.0","-10.0"
"平成19年7-9月","5279.0","-0.5","843173.0","-7.6"
"平成19年10-12月","5270.0","4.9","802217.0","-0.2"
"平成20年1-3月","7055.0","9.024880234894141","1035997.0","-0.6951360605186352"
"平成20年4-6月","4907.0","11.446740858505564","735630.0","-1.282894295414593"
"平成20年7-9月","5505.0","4.281113847319574","807461.0","-4.235429739804289"
"平成20年10-12月","4749.0","-9.886148007590137","633254.0","-21.062006913341406"
"平成21年1-3月","5180.0","-26.57689581856839","715557.0","-30.93059149785182"
"平成21年4-6月","4309.0","-12.186672101080092","588210.0","-20.03996574364831"
"平成21年7-9月","5889.0","6.9754768392370465","809928.0","0.30552559194809703"
"平成21年10-12月","6249.0","31.585596967782692","807390.0","27.498602456518228"
"平成22年1-3月","7204.0","39.07335907335906","976545.0","36.47340463443163"
"平成22年4-6月","5369.0","24.59967509863077","744146.0","26.510259941177466"
"平成22年7-9月","6835.0","16.06384785192732","932855.0","15.177521952568625"
"平成22年10-12月","3839.0","-38.56617058729397","576170.0","-28.637956873382137"
"平成23年1-3月","5066.0","-29.67795669072737","719177.0","-26.354955480802218"
"平成23年4-6月","3146.0","-41.404358353510894","476002.0","-36.03378906827424"
"平成23年7-9月","5155.0","-24.57937088514997","771772.0","-17.26774257521265"
"平成23年10-12月","5205.0","35.582182860119815","722123.0","25.331586163805824"
"平成24年1-3月","7748.0","52.94117647058823","1094439.0","52.179366136569996"
