"""","和歌山市_２ 人 以 上 の 世 帯_消 費 支 出","和歌山市_２ 人 以 上 の 世 帯_前年(同月･期)比","和歌山市_２人以上の世帯のうち勤労者世帯_消 費 支 出","和歌山市_２人以上の世帯のうち勤労者世帯_前年(同月･期)比","全国_２人以上の世帯_消 費 支 出","全国_２人以上の世帯_前年(同月･期)比"
"平成17年","241.509","-3.7","267.827","-3.4","300.531","-"
"平成18年","244.319","1.163517715695889","275.089","2.711451795375382","294.943","-1.859375571904394"
"平成19年","233.42","-4.4609711074456015","263.251","-4.3033345571796815","297.782","0.9625588673065693"
"平成20年","261.24341666666663","11.919894039356805","322.9965","22.695260416864542","296.93225","-0.2853597598242885"
"平成21年","260.47075","-0.2957650288476117","291.12283333333335","-9.868115185974673","291.73725","-1.749557348519744"
"平成22年","235.11766666666668","-9.733562533732993","267.28833333333336","-8.187093992970901","290.2440833333333","-0.5118189969456068"
"平成23年","252.8289166666667","7.532930319995799","299.88891666666666","12.196784994980447","282.95458333333335","-2.5115068380664525"
"平成24年","244.9216666666667","-3.1275101377842134","283.01441666666665","-5.626916855602374","286.1689166666667","1.135989138421806"
"平成25年","258.4641666666667","5.529318897878909","278.51925","-1.5883172029222266","290.4546666666667","1.4976294595237647"
"平成26年","264.9865","2.5234961648455254","319.2476666666667","14.623196302110799","291.19350000000003","0.2543713075132672"
"平成19年1-3月","224.85066666666668","-7.6","236.9","-17.5","294.26599999999996","-"
"平成19年4-6月","200.179","-17.5","247.3","-18.4","296.6603333333333","-"
"平成19年7-9月","229.15966666666665","0.0","268.9","1.1","289.705","-"
"平成19年10-12月","279.4916666666666","6.5","299.8","22.8","310.49566666666664","-"
"平成20年1-3月","259.204","15.278288404748636","304.046","28.343604896580842","299.406","1.746718954959121"
"平成20年4-6月","260.95099999999996","30.35882884818085","319.75233333333335","29.297344655613983","293.59133333333335","-1.0345164672054636"
"平成20年7-9月","260.3506666666667","13.611033937036638","321.68766666666664","19.63096566257593","290.31766666666664","0.21147949350775264"
"平成20年10-12月","264.468","-5.37535406541636","346.5","15.577051367578392","304.41400000000004","-1.9586961492752692"
"平成21年1-3月","247.6543333333333","-4.455821155023344","279.48","-8.079698466679375","289.388","-3.345958330828381"
"平成21年4-6月","279.039","6.931569528378901","292.27000000000004","-8.594881246631502","289.70233333333334","-1.3246303819140905"
"平成21年7-9月","250.97333333333336","-3.60180884243303","285.2626666666667","-11.323094968929482","284.38666666666666","-2.04293457855934"
"平成21年10-12月","264.2163333333333","-0.09515959082638403","307.47866666666664","-11.26156806156807","303.472","-0.30944700309449047"
"平成22年1-3月","251.68066666666667","1.6257875560424964","275.0516666666667","-1.5844902437860924","291.024","0.565330974332042"
"平成22年4-6月","224.548","-19.52809463910063","225.423","-22.871659766654133","285.73466666666667","-1.369566693168963"
"平成22年7-9月","224.79266666666663","-10.431652765234048","270.721","-5.097641004547853","284.6673333333333","0.09869192179661468"
"平成22年10-12月","239.44933333333333","-9.373758119924446","297.9576666666667","-3.0964749857984657","299.5503333333333","-1.292266392506292"
"平成23年1-3月","255.75733333333335","1.6197774428442528","285.4246666666666","3.771291454332797","280.628","-3.5722139754796842"
"平成23年4-6月","230.55133333333333","2.6735189506623698","273.65433333333334","21.395923811382758","278.175","-2.645694607118017"
"平成23年7-9月","259.5083333333333","15.443416007046508","302.64833333333337","11.793445404432362","277.3546666666667","-2.5688464429825615"
"平成23年10-12月","265.4986666666667","10.878849805386807","337.8283333333333","13.381319270187134","295.66066666666666","-1.2985018655740532"
"平成24年1-3月","246.38766666666666","-3.6634987331741655","305.65933333333334","7.089319540240638","284.94","1.5365537294924252"
"平成24年4-6月","247.32499999999996","7.275458538517782","289.24499999999995","5.697211689199122","286.55633333333327","3.0129714508252903"
"平成24年7-9月","233.51433333333333","-10.016634019459886","267.52500000000003","-11.605328516595165","278.6786666666667","0.47736712560573835"
"平成24年10-12月","252.45966666666666","-4.9111357746931645","269.62833333333333","-20.187767949204968","294.50066666666663","-0.3923416709696568"
"平成25年1-3月","283.029","14.871415371169832","325.128","6.3694003563880415","291.0663333333334","2.150043283966241"
"平成25年4-6月","257.0263333333333","3.9225041274975467","281.65066666666667","-2.6255711709219867","285.38866666666667","-0.4074824147433276"
"平成25年7-9月","250.13566666666665","7.117907109199578","251.11266666666666","-6.134878360277867","283.812","1.8420259414666305"
"平成25年10-12月","243.66566666666668","-3.4833286901273937","256.1856666666667","-4.985628364971532","301.5516666666667","2.3942220843869393"
"平成26年1-3月","275.4173333333333","-2.6893592764934624","302.1653333333333","-7.062654298204606","303.041","4.114067927242232"
"平成26年4-6月","272.7733333333333","6.126609595125785","298.3256666666667","5.9204546530453825","282.1143333333334","-1.1473242338518332"
